Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
434547,Hon.,Tawanna,Z,Sherry,F,tawanna.sherry@outlook.com,Kennith Sherry,Lelah Sherry,Bernhardt,1/5/1970,11:22:49 PM,47.59,59,12/3/2012,Q4,H2,2012,12,December,Dec,3,Monday,Mon,4.65,54626,21%,355-08-7668,209-992-4046,Valley Springs,Calaveras,Valley Springs,CA,95252,West,tzsherry,H%knef>G!BT
609176,Mrs.,Coreen,V,Mcfall,F,coreen.mcfall@ibm.com,Michal Mcfall,America Mcfall,Gallardo,1/29/1966,2:33:41 PM,51.53,57,7/29/1991,Q3,H2,1991,7,July,Jul,29,Monday,Mon,26.02,67953,2%,685-24-1151,218-231-5077,Minneapolis,Hennepin,Minneapolis,MN,55418,Midwest,cvmcfall,hWvDb><[pU
748325,Mr.,Richie,Y,Higdon,M,richie.higdon@gmail.com,Derrick Higdon,Ruthie Higdon,Martins,8/5/1959,4:33:12 PM,58.02,61,5/16/2014,Q2,H1,2014,5,May,May,16,Friday,Fri,3.2,41140,0%,334-11-3294,270-549-5478,Bruin,Bruin,Bruin,KY,41125,South,ryhigdon,OKVcKK[LVGx
596849,Mrs.,Tamekia,V,Sheldon,F,tamekia.sheldon@aol.com,Seth Sheldon,Deanna Sheldon,Lara,1/31/1973,2:42:49 PM,44.52,59,8/24/2014,Q3,H2,2014,8,August,Aug,24,Sunday,Sun,2.93,173089,16%,440-29-4749,205-413-2067,Tuskegee,Macon,Tuskegee,AL,36083,South,tvsheldon,KirM?H:CbGz
905716,Mr.,Randy,S,Puente,M,randy.puente@yahoo.com,Terry Puente,Setsuko Puente,Caswell,3/14/1970,2:42:55 PM,47.41,74,3/21/2006,Q1,H1,2006,3,March,Mar,21,Tuesday,Tue,11.36,191502,11%,093-02-8361,205-702-6391,Decatur,Morgan,Decatur,AL,35609,South,rspuente,HYglbnWGUkC
755512,Mrs.,Ozie,U,Barrientos,F,ozie.barrientos@gmail.com,Ferdinand Barrientos,Myrtis Barrientos,Keaton,3/12/1970,4:56:04 PM,47.41,45,8/14/2012,Q3,H2,2012,8,August,Aug,14,Tuesday,Tue,4.96,57902,25%,171-86-2782,270-820-6512,Printer,Floyd,Printer,KY,41655,South,oubarrientos,jBo\tJmRL3sDj
182460,Mr.,James,Z,Limon,M,james.limon@hotmail.com,Garfield Limon,Shonda Limon,Guzman,10/12/1995,1:40:49 PM,21.81,65,6/16/2017,Q2,H1,2017,6,June,Jun,16,Friday,Fri,0.12,122297,29%,322-11-1143,212-989-0784,Astoria,Queens,Astoria,NY,11103,Northeast,jzlimon,ey%SO?ETrS@
899789,Drs.,Wilhelmina,J,Dobson,F,wilhelmina.dobson@aol.com,Ivory Dobson,Dyan Dobson,Gragg,12/24/1990,10:56:01 PM,26.61,52,2/24/2012,Q1,H1,2012,2,February,Feb,24,Friday,Fri,5.43,96084,3%,540-83-2326,209-843-3857,San Leandro,Alameda,San Leandro,CA,94579,West,wjdobson,tH:!:;5[
609802,Drs.,Beverlee,Y,Merrell,F,beverlee.merrell@gmail.com,Aron Merrell,Alexander Merrell,Shockley,3/10/1960,1:22:41 PM,57.42,55,6/1/1984,Q2,H1,1984,6,June,Jun,1,Friday,Fri,33.18,166485,18%,163-86-1517,215-329-3603,West Mifflin,Allegheny,West Mifflin,PA,15123,Northeast,bymerrell,NeT2!Gf#
385410,Mr.,Zane,Y,Marquardt,M,zane.marquardt@comcast.net,Ernie Marquardt,Alysia Marquardt,Marx,11/13/1986,2:34:51 PM,30.73,63,9/4/2016,Q3,H2,2016,9,September,Sep,4,Sunday,Sun,0.9,94565,30%,090-02-5864,252-979-7983,Greensboro,Guilford,Greensboro,NC,27420,South,zymarquardt,dW<d;4OPW3C5/
714628,Mr.,Len,P,Gage,M,len.gage@gmail.com,Sean Gage,Aura Gage,Christenson,12/26/1979,6:28:10 PM,37.61,61,11/20/2016,Q4,H2,2016,11,November,Nov,20,Sunday,Sun,0.68,117409,1%,049-15-1081,405-740-4177,Francis,Pontotoc,Francis,OK,74844,South,lpgage,ZDnk8P*LQo&
546600,Mr.,Xavier,D,Savoy,M,xavier.savoy@gmail.com,Wilfredo Savoy,Jackie Savoy,Brogan,9/8/1992,11:28:28 AM,24.9,67,10/15/2013,Q4,H2,2013,10,October,Oct,15,Tuesday,Tue,3.79,192643,8%,067-02-4213,216-914-0930,Struthers,Mahoning,Struthers,OH,44471,Midwest,xdsavoy,N19}F!@~2T:XzP
620100,Ms.,Fleta,A,Sutton,F,fleta.sutton@walmart.com,Adam Sutton,Lu Sutton,Ogle,12/1/1958,8:23:26 AM,58.7,54,1/28/2015,Q1,H1,2015,1,January,Jan,28,Wednesday,Wed,2.5,79993,28%,106-98-2757,270-875-3208,Sandgap,Jackson,Sandgap,KY,40481,South,fasutton,GR5ZQ~~f;#[:*
613719,Mr.,Scott,D,Lassiter,M,scott.lassiter@hotmail.com,Judson Lassiter,Mai Lassiter,Doe,7/15/1962,4:10:02 AM,55.07,59,4/25/2016,Q2,H1,2016,4,April,Apr,25,Monday,Mon,1.26,109377,24%,126-98-9809,307-676-8137,Clearmont,Sheridan,Clearmont,WY,82835,West,sdlassiter,t\R-zB>|yh
396181,Mrs.,Maryam,F,Vandiver,F,maryam.vandiver@exxonmobil.com,Abdul Vandiver,Ladonna Vandiver,Schaefer,4/8/1968,1:41:16 AM,49.34,54,8/10/1999,Q3,H2,1999,8,August,Aug,10,Tuesday,Tue,17.98,186778,12%,027-92-4345,262-297-3411,Watertown,Jefferson,Watertown,WI,53094,Midwest,mfvandiver,EM/A>_JSW<0Sl7O
822054,Mr.,Rudolf,N,Ramirez,M,rudolf.ramirez@exxonmobil.com,Lindsey Ramirez,Ardella Ramirez,Mckeon,3/20/1972,1:28:42 AM,45.39,84,9/27/2002,Q3,H2,2002,9,September,Sep,27,Friday,Fri,14.84,97009,4%,079-02-7451,319-946-5098,Larrabee,Cherokee,Larrabee,IA,51029,Midwest,rnramirez,zxQp}kKlij#0!
478255,Hon.,Robbie,I,Petrie,M,robbie.petrie@aol.com,Vince Petrie,Ellyn Petrie,Monk,8/30/1986,6:55:53 PM,30.93,56,9/8/2007,Q3,H2,2007,9,September,Sep,8,Saturday,Sat,9.89,42005,26%,673-48-5948,314-777-4019,Saint Louis,St. Louis,Saint Louis,MO,63133,Midwest,ripetrie,Rfe:HO#Hs?V
618290,Dr.,Delmer,P,Quillen,M,delmer.quillen@shell.com,Mohammad Quillen,Venice Quillen,Coyne,7/16/1968,10:32:57 AM,49.07,86,7/7/2008,Q3,H2,2008,7,July,Jul,7,Monday,Mon,9.06,58764,11%,378-37-9515,206-943-5366,Soap Lake,Grant,Soap Lake,WA,98851,West,dpquillen,Ei@-{2V~PhRpDRO
977094,Ms.,Kimberli,P,Battle,F,kimberli.battle@gmail.com,Earnest Battle,Julieta Battle,Frantz,5/3/1989,4:08:23 PM,28.25,42,7/23/2015,Q3,H2,2015,7,July,Jul,23,Thursday,Thu,2.02,84604,5%,204-84-0595,218-395-1135,Angle Inlet,Lake of the Woods,Angle Inlet,MN,56711,Midwest,kpbattle,ypZy;-Ii
669642,Mr.,Raleigh,I,Ireland,M,raleigh.ireland@comcast.net,Grover Ireland,Sheree Ireland,Templeton,6/3/1980,12:18:07 AM,37.18,70,1/2/2010,Q1,H1,2010,1,January,Jan,2,Saturday,Sat,7.57,107539,13%,240-99-6866,228-710-9933,Buckatunna,Wayne,Buckatunna,MS,39322,South,riireland,aUMM4jL0hz#L9K
434883,Ms.,Harriett,O,Centeno,F,harriett.centeno@gmail.com,Zackary Centeno,Ivana Centeno,Smalls,6/12/1979,1:15:43 AM,38.15,55,2/13/2002,Q1,H1,2002,2,February,Feb,13,Wednesday,Wed,15.46,60760,18%,669-48-8873,505-975-3496,Taos,Taos,Taos,NM,87571,West,hocenteno,ci@yUByZOo}]5$}
442543,Mrs.,Ellis,Q,Wilber,F,ellis.wilber@gmail.com,Jae Wilber,Tera Wilber,Mckay,8/13/1983,3:36:40 AM,33.98,49,1/25/2010,Q1,H1,2010,1,January,Jan,25,Monday,Mon,7.51,99371,7%,528-99-2859,239-258-2688,Pinellas Park,Pinellas,Pinellas Park,FL,33781,South,eqwilber,JX^\]t4?xWx
223847,Mr.,Ivan,H,Bliss,M,ivan.bliss@charter.net,Raymond Bliss,Debi Bliss,Torrence,4/16/1993,3:49:15 AM,24.3,70,8/25/2016,Q3,H2,2016,8,August,Aug,25,Thursday,Thu,0.92,108062,29%,763-12-3959,231-219-5306,Vicksburg,Kalamazoo,Vicksburg,MI,49097,Midwest,ihbliss,SEtdu[<w-
681377,Mr.,Mark,Q,Ervin,M,mark.ervin@gmail.com,Gerald Ervin,Karolyn Ervin,Ferreira,4/12/1976,8:19:43 PM,41.32,51,6/22/2005,Q2,H1,2005,6,June,Jun,22,Wednesday,Wed,12.11,198392,0%,606-87-8191,212-979-4885,New York City,New York,New York City,NY,10259,Northeast,mqervin,x$0IyNJEXKAXJ8
838989,Hon.,Raymon,M,Cromwell,M,raymon.cromwell@gmail.com,Laverne Cromwell,Helena Cromwell,Mcmaster,10/15/1981,12:49:15 AM,35.81,67,8/22/2013,Q3,H2,2013,8,August,Aug,22,Thursday,Thu,3.93,82069,9%,586-67-0057,307-899-4753,Evansville,Natrona,Evansville,WY,82636,West,rmcromwell,86g?P^SKh^vAKq
579723,Mr.,Buck,K,Noyes,M,buck.noyes@aol.com,Derick Noyes,Armanda Noyes,Durbin,1/15/1982,7:15:46 PM,35.56,57,4/6/2010,Q2,H1,2010,4,April,Apr,6,Tuesday,Tue,7.32,115777,14%,360-08-4076,231-395-9005,Lakeland,Livingston,Lakeland,MI,48143,Midwest,bknoyes,Y}pqKhP:n
689735,Mr.,Guillermo,Y,Jasso,M,guillermo.jasso@apple.com,Steve Jasso,Ashanti Jasso,Ripley,4/6/1989,12:03:40 PM,28.33,70,4/16/2016,Q2,H1,2016,4,April,Apr,16,Saturday,Sat,1.28,144657,10%,377-37-7464,423-662-3658,Columbia,Maury,Columbia,TN,38402,South,gyjasso,7hcr[>>f:Va%y~t
